Id,Cn,Tc,En
83,无尽挑战,無盡挑戰,
84,当前层数：,當前層數：,
85,复活,復活,
86,前往下一层,前往下一層,
87,重新挑战本层,重新挑戰本層,
88,结束挑战,結束挑戰,
1001,又称步夫人，临淮淮阴人，与丞相步骘同族，吴大帝孙权的宠妃。在孙权众嫔妃中最受孙权宠爱，生有二女：即全公主和朱公主。238年，步练师去世，追赠皇后之位，葬于蒋陵。,又稱步夫人，臨淮淮陰人，與丞相步骘同族，吳大帝孫權的寵妃。在孫權衆嫔妃中最受孫權寵愛，生有二女：即全公主和朱公主。238年，步練師去世，追贈皇後之位，葬于蔣陵。,
1002,"字文姬，又字昭姬。陈留郡圉县人，东汉大文学家蔡邕的女儿。“文姬归汉”的故事却在历朝历代被广为流传。初嫁于卫仲道，丈夫死去而回到自己家里，后值因匈奴入侵，蔡琰被匈奴左贤王掳走，嫁给匈奴人，并生育了两个儿子。
十二年后，曹操统一北方，用重金将蔡琰赎回，并将其嫁给董祀。擅长文学、音乐、书法。现在能看到的蔡文姬作品只有《悲愤诗》二首和古乐府琴曲歌辞传世名曲《胡笳十八拍》。
","字文姬，又字昭姬。陳留郡圉縣人，東漢大文學家蔡邕的女兒。“文姬歸漢”的故事卻在曆朝曆代被廣爲流傳。初嫁于衛仲道，丈夫死去而回到自己家裏，後值因匈奴入侵，蔡琰被匈奴左賢王擄走，嫁給匈奴人，並生育了兩個兒子。
十二年後，曹操統一北方，用重金將蔡琰贖回，並將其嫁給董祀。擅長文學、音樂、書法。現在能看到的蔡文姬作品只有《悲憤詩》二首和古樂府琴曲歌辭傳世名曲《胡笳十八拍》。",
1003,"三国历史上最著名的枭雄，经典的戏剧角色。千古传颂、家喻户晓的历史人物。字孟德，小字阿瞒，沛国谯县人。东汉末年杰出的政治家、军事家、文学家、书法家，三国中曹魏政权的奠基人。曹操在世时官至汉丞相，爵至魏王；去世后，谥号武王。其子曹丕称帝后，追尊其为武皇帝，庙号太祖。
",三國曆史上最著名的枭雄，經典的戲劇角色。千古傳頌、家喻戶曉的曆史人物。字孟德，小字阿瞞，沛國谯縣人。東漢末年傑出的政治家、軍事家、文學家、書法家，三國中曹魏政權的奠基人。曹操在世時官至漢丞相，爵至魏王；去世後，谥號武王。其子曹丕稱帝後，追尊其爲武皇帝，廟號太祖。,
1004,"字子桓。豫州沛国谯人。三国时期著名的政治家、文学家，曹魏开国皇帝。魏武帝曹操与卞夫人的长子。丕文武双全，八岁能提笔为文，善骑射，好击剑，博览古今经传，通晓诸子百家学说。
217年，被立为魏王世子。220年篡汉受禅登基，建立魏国。在位期间，平定边患。击退鲜卑，和其他等外夷修好，恢复在西域的建置。除军政以外，丕自幼好文学，于诗、赋、文学皆有成就。226年，丕病逝于洛阳，时年四十岁。谥号文皇帝，庙号高祖。
","字子桓。豫州沛国谯人。三国时期著名的政治家、文学家，曹魏开国皇帝。魏武帝曹操与卞夫人的长子。丕文武双全，八岁能提笔为文，善骑射，好击剑，博览古今经传，通晓诸子百家学说。
217年，被立为魏王世子。220年篡汉受禅登基，建立魏国。在位期间，平定边患。击退鲜卑，和其他等外夷修好，恢复在西域的建置。除军政以外，丕自幼好文学，于诗、赋、文学皆有成就。226年，丕病逝于洛阳，时年四十岁。谥号文皇帝，庙号高祖。",
1005,"字子文。三国时期曹魏宗室、将领，曹操与卞皇后所生第二子、曹丕之弟、曹植之兄。被曹操称为“黄须儿”。曹彰武艺过人，曹操问诸子志向时自言“好为将”，因此得到曹操的赞赏。其胡须黄色，被曹操称为“黄须儿”。弱冠前喜搏猛虎，臂力过人、不善文章。
218年，率军征讨乌桓，又降服辽东鲜卑大人轲比能。曹丕即位后，曹彰与诸侯就国。221年进爵为公。次年被封为任城王。223年，曹彰到洛阳朝见，因病逝于府邸。死后谥号为“威”。
","字子文。三國時期曹魏宗室、將領，曹操與卞皇後所生第二子、曹丕之弟、曹植之兄。被曹操稱爲“黃須兒”。曹彰武藝過人，曹操問諸子志向時自言“好爲將”，因此得到曹操的贊賞。其胡須黃色，被曹操稱爲“黃須兒”。弱冠前喜搏猛虎，臂力過人、不善文章。
218年，率軍征討烏桓，又降服遼東鮮卑大人轲比能。曹丕即位後，曹彰與諸侯就國。221年進爵爲公。次年被封爲任城王。223年，曹彰到洛陽朝見，因病逝于府邸。死後谥號爲“威”。",
1006,"字长文。颍川许昌人。东汉太丘长陈寔之孙、大鸿胪陈纪之子。三国时期著名政治家、早年为刘备手下，后转投曹操，成为曹魏重臣。以创立九品中正制闻名于世。
曹操主徐州，被辟为司空西曹掾属。曹操封魏公，任御史中丞。后拜吏部尚书，封昌武亭侯。曹丕驾崩后，陈群受诏辅政。曹叡即位，任司空、录尚书事，累封颍阴侯。
237年2月病逝，谥号“靖”。陈群历仕曹操、曹丕、曹叡三代，以其突出的治世之才，竭忠尽职，为曹魏政权的礼制及其政治制度的建设有突出贡献，是魏晋南北朝选官制度“九品中正制”和曹魏律法《魏律》的主要创始人。

","字長文。颍川許昌人。東漢太丘長陳寔之孫、大鴻胪陳紀之子。三國時期著名政治家、早年爲劉備手下，後轉投曹操，成爲曹魏重臣。以創立九品中正制聞名于世。
曹操主徐州，被辟爲司空西曹掾屬。曹操封魏公，任禦史中丞。後拜吏部尚書，封昌武亭侯。曹丕駕崩後，陳群受诏輔政。曹叡即位，任司空、錄尚書事，累封颍陰侯。
237年2月病逝，谥號“靖”。陳群曆仕曹操、曹丕、曹叡三代，以其突出的治世之才，竭忠盡職，爲曹魏政權的禮制及其政治制度的建設有突出貢獻，是魏晉南北朝選官制度“九品中正制”和曹魏律法《魏律》的主要創始人。",
1007,"字德谋，右北平土垠人。早年就投奔孙坚。东吴三朝元老。东吴名将，他曾跟随孙坚讨伐过黄巾、董卓，斩华雄、破吕布，又助孙策平定江东。孙策死后，他与张昭等人共同辅佐孙权。赤壁之战与周瑜分任左右都督打败曹操，之后大破曹仁于南郡。程普在东吴诸将中年岁最长，被人们尊称为“程公”。
",字德謀，右北平土垠人。早年就投奔孫堅。東吳三朝元老。東吳名將，他曾跟隨孫堅討伐過黃巾、董卓，斬華雄、破呂布，又助孫策平定江東。孫策死後，他與張昭等人共同輔佐孫權。赤壁之戰與周瑜分任左右都督打敗曹操，之後大破曹仁于南郡。程普在東吳諸將中年歲最長，被人們尊稱爲“程公”。,
1008,"字仲德，兖州东郡东阿人，东汉后期至三国时期曹魏谋士、名臣。本名程立，因梦中在泰山捧日，更名程昱。曹操的参谋，经荀彧的推举出仕曹操，于仓亭之战用计大胜袁绍军。人脯代粮事件是其一生污点和毕生位不至三公的重要原因。
192年，被曹操征辟为寿张令。曹操征徐州时，程昱与荀彧留守后方，阻吕布、陈宫大军，保住三城，因功受封为东平相。曹操将汉献帝迁往许都后，任命程昱为尚书，后又为东中郎将。讨平袁谭、袁尚后，封安国亭侯。
220年，曹丕代汉称帝，拜程昱为卫尉，进封安乡侯。同年逝世。
","字仲德，兖州東郡東阿人，東漢後期至三國時期曹魏謀士、名臣。本名程立，因夢中在泰山捧日，更名程昱。曹操的參謀，經荀彧的推舉出仕曹操，于倉亭之戰用計大勝袁紹軍。人脯代糧事件是其一生汙點和畢生位不至三公的重要原因。
192年，被曹操征辟爲壽張令。曹操征徐州時，程昱與荀彧留守後方，阻呂布、陳宮大軍，保住三城，因功受封爲東平相。曹操將漢獻帝遷往許都後，任命程昱爲尚書，後又爲東中郎將。討平袁譚、袁尚後，封安國亭侯。
220年，曹丕代漢稱帝，拜程昱爲衛尉，進封安鄉侯。同年逝世。",
1009,"江东乔国老有二女，大乔和小乔。大乔有沉鱼落雁之资，倾国倾城之容。孙策征讨江东，攻取皖城，娶大乔为妻。自古美女配英雄，伯符大乔堪绝配。曹操赤壁鏖兵，虎视江东，曾有揽二乔娱暮年，还足平生之愿。
",江東喬國老有二女，大喬和小喬。大喬有沈魚落雁之資，傾國傾城之容。孫策征討江東，攻取皖城，娶大喬爲妻。自古美女配英雄，伯符大喬堪絕配。曹操赤壁鏖兵，虎視江東，曾有攬二喬娛暮年，還足平生之願。,
1010,"字士载，义阳棘阳人。三国时期魏国杰出的军事家、将领。其人文武全才，深谙兵法，对内政，尤其是水利方面颇有建树。以偷渡阴平奇袭江油名垂青史。
早年从政期间，在东南地区屯田，在农田水利方面有卓越的贡献，使得淮水流域的水利和军屯建设得到飞速的发展。后来又邓艾出任参征西军事，多年在曹魏西边战线防备蜀汉姜维。
263年，他与钟会分别率军攻打蜀汉，最后他率先进入成都，使得蜀汉灭亡。后因遭到钟会的污蔑和陷害，被司马昭猜忌而被收押，最后与其子邓忠一起被卫瓘派遣的武将田续所杀害。","字士載，義陽棘陽人。三國時期魏國傑出的軍事家、將領。其人文武全才，深谙兵法，對內政，尤其是水利方面頗有建樹。以偷渡陰平奇襲江油名垂青史。
早年從政期間，在東南地區屯田，在農田水利方面有卓越的貢獻，使得淮水流域的水利和軍屯建設得到飛速的發展。後來又鄧艾出任參征西軍事，多年在曹魏西邊戰線防備蜀漢姜維。
263年，他與鍾會分別率軍攻打蜀漢，最後他率先進入成都，使得蜀漢滅亡。後因遭到鍾會的汙蔑和陷害，被司馬昭猜忌而被收押，最後與其子鄧忠一起被衛瓘派遣的武將田續所殺害。",
1011,"陈留己吾人。东汉末年曹操部将，相貌魁梧，膂力过人。有【古之恶来】之称！本属张邈，后归曹操。曹操征讨吕布时被募为陷阵，表现英勇，被拜为校尉，宿卫曹操。197年，张绣背叛曹操，典韦为保护曹操而独挡叛军，击杀多人，但最终因寡不敌众而战死。
",陳留己吾人。東漢末年曹操部將，相貌魁梧，膂力過人。有【古之惡來】之稱！本屬張邈，後歸曹操。曹操征討呂布時被募爲陷陣，表現英勇，被拜爲校尉，宿衛曹操。197年，張繡背叛曹操，典韋爲保護曹操而獨擋叛軍，擊殺多人，但最終因寡不敵衆而戰死。,
1012,"生于河南洛阳，被誉为中国古代四大美女之一。
在民间传说中她原名任红昌，她为了报答义父王允的养育之恩而甘愿献身完成连环计的故事在民间广为流传。在《三国演义》之中，董卓祸乱朝纲，残忍暴戾，滥杀无辜，百姓深受其害。而群臣皆岌岌自危，即便枭雄曹操亦是行刺失败而亡命天涯。
由于貂蝉的出现，才有了王司徒巧施连环计的佳话，才有了吕奉先大闹凤仪亭的风波，才有了凶横无忌权倾一时的董卓宫门前的被戮，才有了武功盖世吕布的白门楼上的殒命。
","生于河南洛陽，被譽爲中國古代四大美女之一。
在民間傳說中她原名任紅昌，她爲了報答義父王允的養育之恩而甘願獻身完成連環計的故事在民間廣爲流傳。
在《三國演義》之中，董卓禍亂朝綱，殘忍暴戾，濫殺無辜，百姓深受其害。而群臣皆岌岌自危，即便枭雄曹操亦是行刺失敗而亡命天涯。由于貂蟬的出現，才有了王司徒巧施連環計的佳話，才有了呂奉先大鬧鳳儀亭的風波，才有了凶橫無忌權傾一時的董卓宮門前的被戮，才有了武功蓋世呂布的白門樓上的殒命。",
1013,"字仲颖，陇西临洮人。东汉末年献帝时权臣，官至太师，封郿侯。是三国时期最残暴凶残的枭雄！成长于凉州，好结交羌人。后随张奂平羌乱，又平定黄巾之乱、凉州之乱等战役，颇着威名。
189年，受大将军何进所召，率军进京讨伐十常侍，借机得以掌握朝政。他随后废除汉少帝，毒杀太后，改立献帝，掌握朝政大权，飞扬跋扈，放纵士兵在城内烧杀抢掠，肆意妄为。次年，袁绍联合关东各地刺史、太守起兵讨伐董卓。191年，董卓被孙坚击败，退守长安。192年，王允用连环计，离间董卓和吕布，卓为其亲信吕布所杀。","字仲穎，隴西臨洮人。東漢末年獻帝時權臣，官至太師，封郿侯。是三國時期最殘暴凶殘的枭雄。成長于涼州，好結交羌人。後隨張奂平羌亂，又平定黃巾之亂、涼州之亂等戰役，頗著威名。
189年，受大將軍何進所召，率軍進京討伐十常侍，借機得以掌握朝政。他隨後廢除漢少帝，毒殺太後，改立獻帝，掌握朝政大權，飛揚跋扈，放縱士兵在城內燒殺搶掠，肆意妄爲。次年，袁紹聯合關東各地刺史、太守起兵討伐董卓。191年，董卓被孫堅擊敗，退守長安。192年，王允用連環計，離間董卓和呂布，卓爲其親信呂布所殺。",
1014,"字孝直。扶风郿人。东汉末年刘备帐下谋士，名士法真之孙。是刘备时代唯一一位有谥号的大臣。法正善于奇谋，被陈寿称赞为可比曹操帐下的程昱和郭嘉。
原为刘璋部下，刘备围成都时劝说刘璋投降，而后又与刘备进取汉中，定军山一战中，献计将曹操大将夏侯渊斩首。法正善奇谋，深受刘备信任和敬重。
219年，刘备进位汉中王，封法正为尚书令、护军将军。次年，法正去世，终年四十五岁。法正之死令刘备十分感伤，连哭数日。被追谥为翼侯。","字孝直。扶風郿人。東漢末年劉備帳下謀士，名士法真之孫。是劉備時代唯一一位有谥號的大臣。法正善于奇謀，被陳壽稱贊爲可比曹操帳下的程昱和郭嘉。
原爲劉璋部下，劉備圍成都時勸說劉璋投降，而後又與劉備進取漢中，定軍山一戰中，獻計將曹操大將夏侯淵斬首。法正善奇謀，深受劉備信任和敬重。
219年，劉備進位漢中王，封法正爲尚書令、護軍將軍。次年，法正去世，終年四十五歲。法正之死令劉備十分感傷，連哭數日。被追谥爲翼侯。",
1015,"字兴霸，巴郡临江人，少时在长江上抢夺船只财物，人称锦帆贼，后为三国时期孙吴名将，官至西陵太守，折冲将军。留有“百骑劫曹营”的典故千古传唱。少年时好游侠，组成渠师抢夺船只财物，人称锦帆贼。
后任蜀郡丞，后历仕于刘表和黄祖麾下，208年投奔孙权。先后随孙权破黄祖据楚关，随周瑜攻曹仁取夷陵，随鲁肃镇益阳拒关羽，守西陵、擒朱光，率百余人夜袭曹营，战功赫赫。220年甘宁去世。他为人仗义疏财，深得士卒拥戴，被陈寿盛赞为“江表之虎臣”。
","字興霸，巴郡臨江人，少時在長江上搶奪船只財物，人稱錦帆賊，後爲三國時期孫吳名將，官至西陵太守，折衝將軍。留有“百騎劫曹營”的典故千古傳唱！少年時好遊俠，組成渠師搶奪船只財物，人稱錦帆賊。
後任蜀郡丞，後曆仕于劉表和黃祖麾下，208年投奔孫權。先後隨孫權破黃祖據楚關，隨周瑜攻曹仁取夷陵，隨魯肅鎮益陽拒關羽，守西陵、擒朱光，率百余人夜襲曹營，戰功赫赫。220年甘甯去世。他爲人仗義疏財，深得士卒擁戴，被陳壽盛贊爲“江表之虎臣”。",
1016,"东汉末年吕布帐下中郎将。以统领三国时期最强步兵的“陷阵营”闻名于世。顺为人清白有威严，不好饮酒，随吕布征战四方，直属部下七百余人，铠甲兵器都精练齐整，攻无不克战无不胜，有为“陷阵营”之美誉。
196年六月夜半时，吕布的部将郝萌叛乱，高顺率部到下邳平叛，弓弩齐发射杀郝萌的部曲，天亮还营。曹性斩断郝萌一臂，高顺乘势斩下郝萌的首级。198年，曹操亲征吕布，包围下邳城，城破，和吕布、陈宫一起被斩首。","東漢末年呂布帳下中郎將。以統領三國時期最強步兵的“陷陣營”聞名于世。順爲人清白有威嚴，不好飲酒，隨呂布征戰四方，直屬部下七百余人，铠甲兵器都精練齊整，攻無不克戰無不勝，有爲“陷陣營”之美譽。
196年六月夜半時，呂布的部將郝萌叛亂，高順率部到下邳平叛，弓弩齊發射殺郝萌的部曲，天亮還營。曹性斬斷郝萌一臂，高順乘勢斬下郝萌的首級。198年，曹操親征呂布，包圍下邳城，城破，和呂布、陳宮一起被斬首。",
1017,"字伯珪，辽西令支人，东汉末年武将、军阀，汉末群雄之一。有白马将军的美名。公孙瓒出身贵族。相貌俊美，且声音洪亮、机智善辩，得到涿郡太守赏识，将女儿许配给他。后逐步做到中郎将，以强硬的态度对抗北方游牧民族，作战勇猛，威震边疆。公孙瓒好战，与主张以怀柔政策的上司刘虞不和，二人矛盾逐渐激化。
193年，公孙瓒击杀刘虞，并挟持朝廷使者，得到了总督北方四州的授权，成为北方最强大的诸侯之一。他与袁绍多次相争，初期占据优势，但在龙凑之战后，公孙瓒锐气顿减，采取自保战略，逐渐失去了部下信任，被袁绍击败。最终困于高楼，引火自焚。","字伯珪，遼西令支人，東漢末年武將、軍閥，漢末群雄之一。有白馬將軍的美名。公孫瓒出身貴族。相貌俊美，且聲音洪亮、機智善辯，得到涿郡太守賞識，將女兒許配給他。後逐步做到中郎將，以強硬的態度對抗北方遊牧民族，作戰勇猛，威震邊疆。公孫瓒好戰，與主張以懷柔政策的上司劉虞不和，二人矛盾逐漸激化。
193年，公孫瓒擊殺劉虞，並挾持朝廷使者，得到了總督北方四州的授權，成爲北方最強大的諸侯之一。他與袁紹多次相爭，初期占據優勢，但在龍湊之戰後，公孫瓒銳氣頓減，采取自保戰略，逐漸失去了部下信任，被袁紹擊敗。最終困于高樓，引火自焚。",
1018,据史书记载，孙权曾经派使者向关羽请求通婚，希望关羽能将女儿嫁给孙权的儿子，但关羽却对使者大加辱骂，因而惹得孙权大怒。即是关羽的女儿。民间传说被称为关银屏，通称关三小姐。在传说中，关银屏后来嫁与李恢之子。,據史書記載，孫權曾經派使者向關羽請求通婚，希望關羽能將女兒嫁給孫權的兒子，但關羽卻對使者大加辱罵，因而惹得孫權大怒。即是關羽的女兒。民間傳說被稱爲關銀屏，通稱關三小姐。在傳說中，關銀屏後來嫁與李恢之子。,
1019,"关羽之子，关羽率军攻打樊城时，孙权借机征讨荆州。关平与其父一同被擒，最后被斩于临沮县。
《三国志·蜀书·关羽传》：“权遣将逆击羽，斩羽及子平于临沮。……追谥羽曰壮缪侯。”裴松之注引《蜀记》：“羽初出军围樊，梦猪啮其足，语子平曰：'吾今年衰矣，然不得还！’”
","關羽之子，關羽率軍攻打樊城時，孫權借機征討荊州。關平與其父一同被擒，最後被斬于臨沮縣。
《三國志·蜀書·關羽傳》：“權遣將逆擊羽，斬羽及子平于臨沮。……追谥羽曰壯缪侯。”裴松之注引《蜀記》：“羽初出軍圍樊，夢豬齧其足，語子平曰：'吾今年衰矣，然不得還！’”",
1020,"本字长生，后改字云长，河东郡解县人，东汉末年名将，堪称万人敌。去世后，被神化，被民间尊为“关公”。历代朝廷多有褒封，因忠义而被崇为“武圣”，与“文圣”孔子齐名。
早期跟随刘备辗转各地，曾被曹操生擒，于白马坡斩杀袁绍大将颜良，与张飞一同被称为万人敌。赤壁之战后，刘备助东吴周瑜攻打南郡曹仁，别遣关羽绝北道，阻挡曹操援军，曹仁退走后，关羽被刘备任命为襄阳太守。刘备入益州，关羽留守荆州。建安二十四年，关羽围襄樊，曹操派于禁前来增援，关羽用计，水淹七军，擒获于禁，斩杀庞德，威震华夏，曹操曾想迁都以避其锐。后曹操派徐晃前来增援，东吴吕蒙又偷袭荆州，关羽腹背受敌，兵败被杀。","本字長生，後改字雲長，河東郡解縣人，東漢末年名將，堪稱萬人敵。去世後，被神化，被民間尊爲“關公”。曆代朝廷多有褒封，因忠義而被崇爲“武聖”，與“文聖”孔子齊名。
早期跟隨劉備輾轉各地，曾被曹操生擒，于白馬坡斬殺袁紹大將顔良，與張飛一同被稱爲萬人敵。赤壁之戰後，劉備助東吳周瑜攻打南郡曹仁，別遣關羽絕北道，阻擋曹操援軍，曹仁退走後，關羽被劉備任命爲襄陽太守。劉備入益州，關羽留守荊州。建安二十四年，關羽圍襄樊，曹操派于禁前來增援，關羽用計，水淹七軍，擒獲于禁，斬殺龐德，威震華夏，曹操曾想遷都以避其銳。後曹操派徐晃前來增援，東吳呂蒙又偷襲荊州，關羽腹背受敵，兵敗被殺。",
1021,"奉孝，颍川阳翟人。东汉末年曹操帐下著名谋士。三国时期著名的兵法家、战略家。史书上称他“才策谋略，世之奇士”。曹操称赞他见识过人，是自己的“奇佐”。
郭嘉早期投袁绍，见绍好谋少决，无察识贤能之才，便离开绍。后受荀彧举荐，投奔曹操。绍送信羞辱曹操，郭嘉提出十胜十败论，鼓舞了曹操；又分析时局，认为先扫平吕布，再谋取天下。郭嘉对刘备不能放虎归山。
官渡对峙时，孙策有袭击许昌之意，但是郭嘉分析认定孙策必为小人所害，稳定了曹操的信心。袁绍死后，建议曹操暂时退兵，让袁绍二子相残，追袭袁熙、袁尚余党时劝曹操兵贵神速，直指受袁氏之恩的乌丸大本营柳城，终破三郡乌丸并让他们臣服。可惜因水土不服，操劳过度而病死。","奉孝，颍川陽翟人。東漢末年曹操帳下著名謀士。三國時期著名的兵法家、戰略家。史書上稱他“才策謀略，世之奇士”。曹操稱贊他見識過人，是自己的“奇佐”。
郭嘉早期投袁紹，見紹好謀少決，無察識賢能之才，便離開紹。後受荀彧舉薦，投奔曹操。紹送信羞辱曹操，郭嘉提出十勝十敗論，鼓舞了曹操；又分析時局，認爲先掃平呂布，再謀取天下。郭嘉對劉備不能放虎歸山。
官渡對峙時，孫策有襲擊許昌之意，但是郭嘉分析認定孫策必爲小人所害，穩定了曹操的信心。袁紹死後，建議曹操暫時退兵，讓袁紹二子相殘，追襲袁熙、袁尚余黨時勸曹操兵貴神速，直指受袁氏之恩的烏丸大本營柳城，終破三郡烏丸並讓他們臣服。可惜因水土不服，操勞過度而病死。",
1022,文德皇后郭氏，字女王，安平广宗人。东汉末年南郡太守郭永的女儿，三国曹魏开国皇帝曹丕的皇后。武帝为魏公时，入文帝东宫。220年，文帝即王位，封为夫人，同年魏受禅，进为贵嫔。222年，册立为皇后。226年文帝驾崩，平原王曹叡继位，尊为皇太后。235年春，在许昌逝世，葬于洛阳首阳陵，谥号“文德皇后”。,文德皇後郭氏，字女王，安平廣宗人。東漢末年南郡太守郭永的女兒，三國曹魏開國皇帝曹丕的皇後。武帝爲魏公時，入文帝東宮。220年，文帝即王位，封爲夫人，同年魏受禅，進爲貴嫔。222年，冊立爲皇後。226年文帝駕崩，平原王曹叡繼位，尊爲皇太後。235年春，在許昌逝世，葬于洛陽首陽陵，谥號“文德皇後”。,
1023,"字义公。辽西令支人，三国时期吴国将领。韩当因为擅长弓箭、骑术并且膂力过人。历仕孙坚、孙策、孙权三代，随从其征伐四方，功勋卓著，被陈寿盛赞为“江表之虎臣”。
早年跟随孙坚，四处征战，屡建战功。孙策东渡长江，韩当跟随孙策征讨丹阳、吴、会稽三郡，征刘勋，破黄祖，讨鄱阳贼寇，山越畏惧。赤壁之战，韩当作为中郎将和周瑜等击破曹操。张辽征讨陈兰的时候，韩当遣兵与臧霸在逢龙交战，后来在夹石被臧霸击破。韩当与吕蒙袭取南郡，随后被任命永昌太守。宜都之役中，与陆逊、朱然等在涿乡攻打蜀军，并且大破之。被封为都亭侯。后又封石城侯。率领敢死兵和解烦兵一万人，征讨丹阳贼寇，击破之。
226年病卒，子韩综承袭侯爵，领其军队。
","字義公。遼西令支人，三國時期吳國將領。韓當因爲擅長弓箭、騎術並且膂力過人。曆仕孫堅、孫策、孫權三代，隨從其征伐四方，功勳卓著，被陳壽盛贊爲“江表之虎臣”。
早年跟隨孫堅，四處征戰，屢建戰功。孫策東渡長江，韓當跟隨孫策征討丹陽、吳、會稽三郡，征劉勳，破黃祖，討鄱陽賊寇，山越畏懼。赤壁之戰，韓當作爲中郎將和周瑜等擊破曹操。張遼征討陳蘭的時候，韓當遣兵與臧霸在逢龍交戰，後來在夾石被臧霸擊破。韓當與呂蒙襲取南郡，隨後被任命永昌太守。宜都之役中，與陸遜、朱然等在涿鄉攻打蜀軍，並且大破之。被封爲都亭侯。後又封石城侯。率領敢死兵和解煩兵一萬人，征討丹陽賊寇，擊破之。
226年病卒，子韓綜承襲侯爵，領其軍隊。",
1024,"字文约。凉州金城郡人。东汉末年凉州军阀、将领，汉末群雄之一。拥兵割据西北一方长达三十余年。最初闻名于西州，被羌胡叛军劫持并推举为首领，以诛宦官为名举兵造反，聚众十万，先后败皇甫嵩、张温、董卓、孙坚等名将，后受朝廷招安。他曾与马腾结为异姓兄弟，后二人关系破裂。
袁绍、曹操相争之际，马腾、韩遂被钟繇说服，依附于曹操。马腾入京后，留其子马超统领部队。马超推举韩遂为都督起兵反叛曹操，为曹操所败，韩遂逃奔凉州，后又为夏侯渊所败，病死后，被部下献首于曹操，享年七十余岁。","字文約。涼州金城郡人。東漢末年涼州軍閥、將領，漢末群雄之一。擁兵割據西北一方長達三十余年。最初聞名于西州，被羌胡叛軍劫持並推舉爲首領，以誅宦官爲名舉兵造反，聚衆十萬，先後敗皇甫嵩、張溫、董卓、孫堅等名將，後受朝廷招安。他曾與馬騰結爲異姓兄弟，後二人關系破裂。
袁紹、曹操相爭之際，馬騰、韓遂被鍾繇說服，依附于曹操。馬騰入京後，留其子馬超統領部隊。馬超推舉韓遂爲都督起兵反叛曹操，爲曹操所敗，韓遂逃奔涼州，後又爲夏侯淵所敗，病死後，被部下獻首于曹操，享年七十余歲。",
